rotation number,time after start [s]
1,1.2767548561096191
2,1.7396483421325684
3,2.0814924240112305
4,3.1178908348083496
5,3.3401777744293213
6,3.5531539916992188
7,3.7577219009399414
8,3.9555611610412598
9,4.148624897003174
10,4.338075637817383
11,4.524444580078125
12,4.708553075790405
13,4.890974760055542
14,5.071452856063843
15,5.251726865768433
16,5.433197975158691
17,5.615744590759277
18,5.799131155014038
19,5.983566522598267
20,6.1670520305633545
21,6.3489439487457275
22,6.887746572494507
23,7.069117546081543
24,7.249399185180664
25,7.428561210632324
26,7.961845874786377
27,8.139350414276123
28,8.318185806274414
29,8.499748468399048
30,8.682816505432129
31,8.866212368011475
32,9.050746440887451
33,9.237332344055176
34,9.422970056533813
35,9.61128830909729
36,9.799880504608154
37,9.989155530929565
38,10.180232524871826
39,10.373836040496826
40,10.569961547851562
41,10.767422199249268
42,10.965361833572388
43,11.16112494468689
44,11.356682777404785
45,11.551500797271729
46,11.74575424194336
47,11.940276384353638
48,12.132187843322754
49,12.324508666992188
50,13.27311635017395
51,13.462961435317993
52,13.655003786087036
53,13.847824096679688
54,14.04201364517212
55,14.237861156463623
56,14.434175968170166
57,14.63171100616455
58,14.83078646659851
59,15.03109335899353
60,15.232374906539917
61,15.434465646743774
62,15.636335134506226
63,15.837358236312866
64,16.037926197052002
65,16.23794174194336
66,16.436638355255127
67,16.634623050689697
68,16.831725597381592
69,17.031363248825073
70,17.247623920440674
71,17.493943452835083
72,17.786466360092163
73,18.163606643676758
74,18.82672929763794
