rotation number,time after start [s]
1,0.5497794151306152
2,1.0376811027526855
3,1.3757753372192383
4,1.6554293632507324
5,1.9031717777252197
6,2.1294422149658203
7,2.340179681777954
8,2.537461519241333
9,2.7253353595733643
10,2.9054763317108154
11,3.0793256759643555
12,3.2497622966766357
13,3.41740083694458
14,3.579861640930176
15,3.741074323654175
16,3.8999156951904297
17,4.057091236114502
18,4.213475227355957
19,4.368896961212158
20,4.522623538970947
21,4.67445707321167
22,4.824062347412109
23,4.971928119659424
24,5.118093490600586
25,5.262080192565918
26,5.404257774353027
27,5.544776678085327
28,5.68349814414978
29,5.820207118988037
30,5.955178737640381
31,6.087785959243774
32,6.219485759735107
33,6.349097013473511
34,6.478100538253784
35,6.605286598205566
36,6.7320778369903564
37,6.857424259185791
38,6.982396364212036
39,7.105520009994507
40,7.228217601776123
41,7.349379301071167
42,7.470574140548706
43,7.589623689651489
44,7.709104061126709
45,7.827163457870483
46,7.944670915603638
47,8.061223030090332
48,8.177309513092041
49,8.29287576675415
50,8.407846927642822
51,8.522083282470703
52,8.636527299880981
53,8.750230073928833
54,8.863649129867554
55,8.976566791534424
56,9.088887691497803
57,9.201115846633911
58,9.312680006027222
59,9.424512147903442
60,9.535569429397583
61,9.646660089492798
62,9.757075786590576
63,9.866965055465698
64,9.976664543151855
65,10.085654258728027
66,10.19498062133789
67,10.303261756896973
68,10.41194486618042
69,10.52021861076355
70,10.628232717514038
71,10.736169576644897
72,10.843446493148804
73,10.950401306152344
74,11.057368278503418
75,11.163827896118164
76,11.270315408706665
77,11.376533269882202
78,11.482587099075317
79,11.588497400283813
80,11.694216012954712
81,11.799829721450806
82,11.9056556224823
83,12.013803243637085
84,12.12566089630127
85,12.241142511367798
86,12.36080813407898
87,12.485206842422485
88,12.61468243598938
89,12.750235557556152
90,12.892428398132324
91,13.042039155960083
92,13.200568675994873
93,13.369645357131958
94,13.551727056503296
95,13.748763084411621
96,13.960909843444824
97,14.191702842712402
98,14.444344997406006
99,14.725952863693237
100,15.046319484710693
101,15.42500376701355
102,15.909517765045166
103,16.633430004119873
