rotation number,time after start [s]
1,5.121766567230225
2,9.238667964935303
3,12.094085454940796
4,14.502423524856567
5,16.70549440383911
6,18.68753671646118
7,20.498866319656372
8,22.156697273254395
9,23.696874856948853
10,25.150522232055664
11,26.53006887435913
12,27.84986138343811
13,29.11153292655945
14,30.32082200050354
15,31.48941421508789
16,32.62083411216736
17,33.7156400680542
18,34.78183698654175
19,35.82146596908569
20,36.83702301979065
21,37.83059000968933
22,38.8033766746521
23,39.755385637283325
24,40.69199013710022
25,41.61315178871155
26,42.51726770401001
27,43.40932893753052
28,44.28820323944092
29,45.15612483024597
30,46.017127990722656
31,46.86985111236572
32,47.71421813964844
33,48.550994634628296
34,49.37903165817261
35,50.199716329574585
36,51.01233625411987
37,51.81405329704285
38,52.605708599090576
39,53.390188694000244
40,54.16688084602356
41,54.93469023704529
42,55.69552803039551
43,56.45020627975464
44,57.198792695999146
45,57.94087862968445
46,58.677258014678955
47,59.407891035079956
48,60.13387393951416
49,60.854801654815674
50,61.570590019226074
51,62.283793449401855
52,62.99378061294556
53,63.69954586029053
54,64.40131640434265
55,65.09975838661194
56,65.79477667808533
57,66.48667287826538
58,67.17637705802917
59,67.86462593078613
60,68.54993844032288
61,69.23232817649841
62,69.91165852546692
63,70.5880491733551
64,71.26132559776306
65,71.9309561252594
66,72.59694981575012
67,73.25961661338806
68,73.91943144798279
69,74.57441830635071
70,75.22540402412415
71,75.8736834526062
72,76.52078628540039
73,77.16571831703186
74,77.80807971954346
75,78.44719910621643
76,79.08423280715942
77,79.71963334083557
78,80.35445952415466
79,80.98687744140625
80,81.61723470687866
81,82.25570774078369
82,82.90806555747986
83,83.5740053653717
84,84.25552701950073
85,84.95248007774353
86,85.66574597358704
87,86.39705228805542
88,87.14855694770813
89,87.9201033115387
90,88.71416401863098
91,89.53195428848267
92,90.37323141098022
93,91.239248752594
94,92.13236927986145
95,93.05799341201782
96,94.01850581169128
97,95.01377511024475
98,96.04783511161804
99,97.12863445281982
100,98.26862049102783
101,99.47790956497192
102,100.76274085044861
103,102.14169144630432
104,103.63753199577332
105,105.28307509422302
106,107.15837812423706
107,109.3877465724945
108,112.19595575332642
109,116.53943824768066
