rotation number,time after start [s]
1,1.1622838973999023
2,1.8071885108947754
3,2.2999472618103027
4,2.710493326187134
5,3.0698235034942627
6,3.3965203762054443
7,3.702057123184204
8,3.9900166988372803
9,4.262966871261597
10,4.5227625370025635
11,4.773280620574951
12,5.015411853790283
13,5.716392278671265
14,5.940639972686768
15,6.161708116531372
16,6.381568908691406
17,6.601250171661377
18,6.819684743881226
19,7.037294626235962
20,7.254339933395386
21,7.471550464630127
22,7.69030499458313
23,7.912123680114746
24,8.134202718734741
25,8.353781700134277
26,8.572775840759277
27,8.792414903640747
28,9.011409997940063
29,9.229008674621582
30,9.4450101852417
31,9.659677743911743
32,9.871983766555786
33,10.081292629241943
34,10.288114070892334
35,10.494121789932251
36,10.697728633880615
37,10.900111675262451
38,11.100448608398438
39,11.300638437271118
40,12.28527283668518
41,12.480304956436157
42,12.6750807762146
43,12.869926929473877
44,13.065351009368896
45,13.26137113571167
46,13.45765495300293
47,13.654538869857788
48,13.852504253387451
49,14.051100254058838
50,14.250916719436646
51,14.451249837875366
52,14.653240442276001
53,14.855316638946533
54,15.057703256607056
55,15.259127140045166
56,15.4595947265625
57,15.658267498016357
58,15.855731964111328
59,16.05148696899414
60,16.244908571243286
61,16.43725872039795
62,16.628040313720703
63,17.573681592941284
64,17.76306438446045
65,17.954512119293213
66,18.147478580474854
67,18.34179377555847
68,18.537598848342896
69,18.735161781311035
70,18.937591791152954
71,19.161185026168823
72,19.424139738082886
73,19.748069286346436
74,20.197548151016235
