rotation number,time after start [s]
1,3.864657163619995
2,7.908070802688599
3,10.549501419067383
4,12.712110996246338
5,14.581865787506104
6,16.258076429367065
7,17.78817844390869
8,19.217623710632324
9,20.565930128097534
10,21.851441144943237
11,23.07890510559082
12,24.256234169006348
13,25.38987159729004
14,26.48417377471924
15,27.541139125823975
16,28.56969952583313
17,29.568644285202026
18,30.542218923568726
19,31.490958213806152
20,32.414355754852295
21,33.31594800949097
22,34.19757294654846
23,35.06377720832825
24,35.91394019126892
25,36.74840450286865
26,37.568333864212036
27,38.37446999549866
28,39.167749643325806
29,39.94720768928528
30,40.71468544006348
31,41.47112512588501
32,42.21767520904541
33,42.95490050315857
34,43.682899951934814
35,44.40197277069092
36,45.113271951675415
37,45.81736469268799
38,46.51394271850586
39,47.20314049720764
40,47.88631272315979
41,48.56356906890869
42,49.23496651649475
43,49.90107178688049
44,50.56159257888794
45,51.216771364212036
46,51.866830825805664
47,52.51132559776306
48,53.151227951049805
49,53.78709840774536
50,54.41845512390137
51,55.04547190666199
52,55.668755531311035
53,56.28849792480469
54,56.90496325492859
55,57.51829981803894
56,58.128281593322754
57,58.73445773124695
58,59.337053060531616
59,59.93653416633606
60,60.533140659332275
61,61.127055644989014
62,61.71754550933838
63,62.30471706390381
64,62.889246702194214
65,63.47128367424011
66,64.0501503944397
67,64.62564063072205
68,65.19885540008545
69,65.76908230781555
70,66.33661413192749
71,66.90089082717896
72,67.46226048469543
73,68.02065634727478
74,68.57633304595947
75,69.12939167022705
76,69.68059515953064
77,70.229745388031
78,70.77667593955994
79,71.321946144104
80,71.86620616912842
81,72.41558122634888
82,72.97270393371582
83,73.53704404830933
84,74.11098146438599
85,74.69233417510986
86,75.28308129310608
87,75.88262605667114
88,76.49117350578308
89,77.10855674743652
90,77.73559498786926
91,78.37255883216858
92,79.01983213424683
93,79.67794799804688
94,80.34704613685608
95,81.02828407287598
96,81.72235822677612
97,82.430819272995
98,83.15378451347351
99,83.89293360710144
100,84.64939022064209
101,85.42336845397949
102,86.21579837799072
103,87.0276083946228
104,87.85927104949951
105,88.71059703826904
106,89.58320021629333
107,90.47963523864746
108,91.39965748786926
109,92.34479308128357
110,93.31769299507141
111,94.32059597969055
112,95.35429573059082
113,96.42459225654602
114,97.53796625137329
115,98.6983106136322
116,99.91318273544312
117,101.19479894638062
118,102.55324578285217
119,103.99205303192139
120,105.52662968635559
121,107.18023109436035
122,108.97265958786011
123,110.93871903419495
124,113.12831234931946
125,115.63118600845337
126,118.6275725364685
127,122.48705315589905
128,129.29661655426025
129,130.5509741306305
